Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,16386.93088,19030.62813,18483.63669,22312.17903
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,6236.681205,7366.114738,7745.393066,7964.736753
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,4932.646214,5764.255489,6043.777287,6162.305888
IDA total,IDA,GDP per capita (current US$),NY.GDP.PCAP.CD,1374.492016,1465.046916,1551.173814,1480.943613
IDA blend,IDB,GDP per capita (current US$),NY.GDP.PCAP.CD,1735.425044,1857.197346,1962.521523,1729.919829
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,3853.702888,4287.17314,4730.834848,4876.307745
IDA only,IDX,GDP per capita (current US$),NY.GDP.PCAP.CD,1179.866456,1254.095721,1330.402539,1347.74691
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,79513.53303,94299.96935,88328.54813,
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,1907.042516,2239.613844,2347.448294,2530.120313
Not classified,INX,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,86622.50673,103961.9764,105234.5116,103887.8004
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,2988.781224,4334.792686,4405.092915,4465.637669
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,4295.189451,4868.494311,6520.731546,5965.318351
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,59023.56635,69178.4047,75121.01523,79960.09615
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,44575.5719,52270.90402,54949.62156,52003.72007
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,32091.48666,36852.54254,35653.90421,39065.42444
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4879.440258,5165.337821,6022.153398,6839.725024
