Country Name,Internet Users_2020,Internet Users_2021,Internet Users_2022,Internet Users_2023,GDP_2020,GDP_2021,GDP_2022,GDP_2023,Education Expenditure_2020,Education Expenditure_2021,Education Expenditure_2022,Education Expenditure_2023,Healthcare Expenditure_2020,Healthcare Expenditure_2021,Healthcare Expenditure_2022,Healthcare Expenditure_2023,Unemployment Rate_2020,Unemployment Rate_2021,Unemployment Rate_2022,Unemployment Rate_2023,Life Expectancy_2020,Life Expectancy_2021,Life Expectancy_2022,Life Expectancy_2023,Population in Urban Areas_2020,Population in Urban Areas_2021,Population in Urban Areas_2022,Population in Urban Areas_2023
Chad,8.34,13.1,12.5,13.2,866.9478149,946.3585002,966.0364683,989.058529,2.739603996,2.88812995,2.538672924,0,4.4533143,4.17851543,4.52549791,0,1.707,1.548,1.096,1.074,53.082,53.136,54.528,55.069,8.258772195,8.279629777,8.304317303,8.242241964
Channel Islands,0,0,0,0,56785.9402,66912.17532,67627.30845,74589.13812,0,0,0,0,0,0,0,0,6.863,6.875,6.147,6.187,80.9,80.3,81,81.1,0,0,0,0
Chile,87.5,90.2,93.5,94.5,13114.81547,16206.83255,15405.61658,17067.03648,5.629930019,4.999239922,0,0,9.68910599,9.68593311,10.06172848,10.09532642,10.934,9.281,8.249,9.013,79.349,78.876,79.176,81.167,34.93549304,35.0096529,35.06841086,35.11597712
China,70.1,73.1,75.6,77.5,10627.4638,12887.43572,12970.60564,12951.17824,4.233381271,3.988325119,4.023569584,0,5.59359741,5.38360548,5.36948681,0,5,4.55,4.98,4.67,78.019,78.117,78.202,77.953,29.03499809,29.76998435,30.52300983,31.2803562
Colombia,69.8,73,72.8,77.3,5339.687114,6222.621644,6680.445069,7000.836605,0,0,0,0,8.71432114,9.01772404,7.57361269,7.69168758,15.983,13.898,10.547,9.594,74.757,72.698,76.508,77.725,44.2970439,44.40370044,44.48976751,44.51831451
Comoros,22.4,30.7,32.8,35.7,1527.169909,1587.729886,1533.877553,1682.202851,2.378050804,2.274853945,2.431644201,0,5.902421,6.43369246,8.3803854,0,4.471,4.394,3.816,3.776,65.756,65.201,66.481,66.777,0,0,0,0
"Congo, Dem. Rep.",21.6,28.4,29.5,30.5,507.5212301,558.0340773,642.6122671,633.3956617,2.622638464,2.660484791,3.002521276,0,3.97694445,3.67749357,3.78614616,0,5.345,5.28,4.522,4.484,60.428,60.044,60.979,61.895,22.98747209,23.23169149,23.48476178,23.73299919
"Congo, Rep.",24.8,33.3,37.5,38.4,1993.586672,2516.162551,2620.838043,2477.978455,4.619013786,3.67454195,2.951592207,0,4.01775074,3.49339676,2.19224548,0,22.198,21.96,20.108,19.898,64.391,64.192,65,65.772,62.61953546,63.19506709,63.75076552,64.27614293
Costa Rica,80.5,82.7,82.6,85.4,12394.0494,12838.11854,13625.90085,16942.02681,6.62898016,6.248419762,0,0,7.82545757,7.61130476,7.18368196,0,16.432,15.139,11.325,8.325,79.725,78.05,79.316,80.799,27.8017488,28.07384128,28.36266533,28.63542927
Cote d'Ivoire,36,36,38.4,40.7,2179.729348,2455.981276,2333.371283,2554.673049,3.786740065,3.327189922,3.511970043,3.429929972,3.62327886,3.76207662,3.6424129,0,2.584,2.63,2.306,2.27,60.14,60.29,61.562,61.944,17.9930182,18.06637549,18.14702957,18.2455661
Croatia,78.3,81.3,82.1,83.2,14808.46202,17789.93047,18466.09555,21865.45628,4.389019966,4.056660175,0,0,7.64949179,8.01351929,7.21545315,0,7.507,7.608,6.96,6.086,77.52439024,76.42439024,77.57560976,78.47317073,0,0,0,0
Cuba,71.1,67.6,68.3,71.3,9605.261251,0,0,0,0,9.38586235,0,0,12.48641968,13.78727913,11.78683186,0,2.24,2.116,1.82,1.719,77.407,73.201,77.629,78.085,19.15135294,19.2666214,19.40077687,19.50039433
Curacao,0,0,0,0,16356.09333,17979.99829,20501.75228,21061.74164,0,0,0,0,0,0,0,0,0,0,0,0,76.501,75.686,76.729,76.8,0,0,0,0
Cyprus,90.8,90.8,89.6,91.2,28649.01563,33734.03516,33894.44922,36551.41797,5.636940002,5.235859871,0,0,8.76033878,9.47552109,8.87060547,0,7.755,7.513,6.806,6.098,81.23,80.573,80.434,81.648,0,0,0,0
