Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,7/1/2025,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023
France,FRA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,22.79225741,22.83804986,22.89502177,22.95632434
Faroe Islands,FRO,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
"Micronesia, Fed. Sts.",FSM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Gabon,GAB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
United Kingdom,GBR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,27.27429582,27.44645288,27.45495681,27.34766688
Georgia,GEO,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,28.95286667,29.09030607,29.10029409,29.12797609
Ghana,GHA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,18.38341104,18.59548047,18.81112374,19.02547461
Gibraltar,GIB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Guinea,GIN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,14.49589015,14.52268052,14.57492019,14.65372038
"Gambia, The",GMB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Guinea-Bissau,GNB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Equatorial Guinea,GNQ,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Greece,GRC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,29.4744667,29.83435749,30.21765504,30.31508647
Grenada,GRD,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Greenland,GRL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Guatemala,GTM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,16.90837154,16.9511525,17.01269568,17.0765609
Guam,GUM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Guyana,GUY,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
High income,HIC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
"Hong Kong SAR, China",HKG,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,100,100,100,100
Honduras,HND,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,14.27012226,14.43457487,14.58981914,14.73036119
Heavily indebted poor countries (HIPC),HPC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,14.00284374,14.13502917,14.28507603,14.44509672
Croatia,HRV,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Haiti,HTI,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,24.66729362,25.00244844,25.34227963,25.67115948
Hungary,HUN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,18.28331327,18.39764833,18.48197109,18.53646291
IBRD only,IBD,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,23.83074608,24.19561378,24.57421445,24.93747693
IDA & IBRD total,IBT,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,21.45431495,21.7382173,22.03293739,22.31763507
IDA total,IDA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,14.55711671,14.72270328,14.89994293,15.08534039
IDA blend,IDB,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Indonesia,IDN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,13.56112627,13.74032321,13.91796449,14.08405653
IDA only,IDX,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,12.92819356,13.08602871,13.25469661,13.42798225
Isle of Man,IMN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
India,IND,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,15.66287006,15.93027679,16.20258693,16.45852285
Not classified,INX,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Ireland,IRL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,24.36985428,24.30158191,24.09366034,23.93119301
"Iran, Islamic Rep.",IRN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,24.90802373,25.04890595,25.08696359,25.1069922
Iraq,IRQ,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,24.04372812,24.11782432,24.1945398,24.29657251
Iceland,ISL,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Israel,ISR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,57.82803225,57.8222144,57.62525765,56.81068129
Italy,ITA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,19.1394228,19.28011372,19.36147943,19.41158577
Jamaica,JAM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Jordan,JOR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,19.77218518,19.71878548,19.62981853,19.51392985
Japan,JPN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,64.66119625,64.88238178,65.07477096,65.27681398
Kazakhstan,KAZ,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,15.71556623,15.90090725,16.03182772,16.12673009
Kenya,KEN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,11.54952874,11.768514,11.99544293,12.22565575
Kyrgyz Republic,KGZ,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Cambodia,KHM,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,12.42270922,12.62844635,12.85594397,13.09236519
Kiribati,KIR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
St. Kitts and Nevis,KNA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
"Korea, Rep.",KOR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,50.22671687,50.43205813,50.66933289,50.77524308
Kuwait,KWT,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,70.78100033,72.85974228,70.56154477,67.9471177
Latin America & Caribbean (excluding high income),LAC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,38.85678584,39.07719505,39.29545904,39.47629893
Lao PDR,LAO,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Lebanon,LBN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,42.51588542,42.57707338,42.35633492,41.93915191
Liberia,LBR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,29.46394605,29.83298421,30.19715653,30.54816184
Libya,LBY,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,16.5368207,16.39469249,16.27715588,16.19692351
St. Lucia,LCA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Latin America & Caribbean,LCN,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,38.69261332,38.92781154,39.15148732,39.33253127
Least developed countries: UN classification,LDC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,12.82939699,12.99067863,13.16446326,13.3444606
Low income,LIC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,13.44119913,13.55241673,13.68573561,13.83185084
Liechtenstein,LIE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Sri Lanka,LKA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Lower middle income,LMC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,16.56999595,16.81115151,17.05857713,17.29880704
Low & middle income,LMY,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,21.70881754,22.00429956,22.31378635,22.61419572
Lesotho,LSO,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Late-demographic dividend,LTE,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,28.79148421,29.35278234,29.90751069,30.45197209
Lithuania,LTU,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Luxembourg,LUX,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Latvia,LVA,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
"Macao SAR, China",MAC,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
St. Martin (French part),MAF,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,,,,
Morocco,MAR,Population in urban agglomerations of more than 1 million (% of total population),EN.URB.MCTY.TL.ZS,22.02907331,22.14694786,22.2799184,22.42344283
